Date,TZ,City,Code,Load
12/01/2020 08:05:00,EST,N.Y.C.,61761,5003.082
12/01/2020 08:10:00,EST,N.Y.C.,61761,5043.175
12/01/2020 08:15:00,EST,N.Y.C.,61761,5054.5547
12/01/2020 08:20:00,EST,N.Y.C.,61761,5101.5938
12/01/2020 08:25:00,EST,N.Y.C.,61761,5107.081
12/01/2020 08:30:00,EST,N.Y.C.,61761,5133.71
12/01/2020 08:35:00,EST,N.Y.C.,61761,5147.198
12/01/2020 08:40:00,EST,N.Y.C.,61761,5143.4443
12/01/2020 08:45:00,EST,N.Y.C.,61761,5155.159
12/01/2020 08:50:00,EST,N.Y.C.,61761,5172.889
12/01/2020 08:55:00,EST,N.Y.C.,61761,5176.8613
12/01/2020 09:00:00,EST,N.Y.C.,61761,5210.0195
12/01/2020 09:05:00,EST,N.Y.C.,61761,5253.218
12/01/2020 09:10:00,EST,N.Y.C.,61761,5231.707
12/01/2020 09:15:00,EST,N.Y.C.,61761,5227.9155
12/01/2020 09:20:00,EST,N.Y.C.,61761,5289.3984
12/01/2020 09:25:00,EST,N.Y.C.,61761,5245.5645
12/01/2020 09:30:00,EST,N.Y.C.,61761,5269.9546
12/01/2020 09:35:00,EST,N.Y.C.,61761,5288.1685
12/01/2020 09:40:00,EST,N.Y.C.,61761,5271.84
12/01/2020 09:45:00,EST,N.Y.C.,61761,5291.116
12/01/2020 09:50:00,EST,N.Y.C.,61761,5273.1846
12/01/2020 09:55:00,EST,N.Y.C.,61761,5301.6377
12/01/2020 10:00:00,EST,N.Y.C.,61761,5280.3486
12/01/2020 10:05:00,EST,N.Y.C.,61761,5279.458
12/01/2020 10:10:00,EST,N.Y.C.,61761,5288.971
12/01/2020 10:15:00,EST,N.Y.C.,61761,5303.9033
12/01/2020 10:20:00,EST,N.Y.C.,61761,5337.8647
12/01/2020 10:25:00,EST,N.Y.C.,61761,5335.9434
12/01/2020 10:30:00,EST,N.Y.C.,61761,5336.1807
12/01/2020 10:35:00,EST,N.Y.C.,61761,5332.1494
12/01/2020 10:40:00,EST,N.Y.C.,61761,5348.132
12/01/2020 10:45:00,EST,N.Y.C.,61761,5308.91
12/01/2020 10:50:00,EST,N.Y.C.,61761,5342.987
12/01/2020 10:55:00,EST,N.Y.C.,61761,5358.5566
12/01/2020 11:00:00,EST,N.Y.C.,61761,5379.372
12/01/2020 11:05:00,EST,N.Y.C.,61761,5385.796
12/01/2020 11:10:00,EST,N.Y.C.,61761,5377.952
12/01/2020 11:15:00,EST,N.Y.C.,61761,5386.6553
12/01/2020 11:20:00,EST,N.Y.C.,61761,5389.5737
12/01/2020 11:25:00,EST,N.Y.C.,61761,5400.3486
12/01/2020 11:30:00,EST,N.Y.C.,61761,5415.9277
12/01/2020 11:35:00,EST,N.Y.C.,61761,5401.5264
12/01/2020 11:40:00,EST,N.Y.C.,61761,5389.663
12/01/2020 11:45:00,EST,N.Y.C.,61761,5400.6377
12/01/2020 11:50:00,EST,N.Y.C.,61761,5378.9365
12/01/2020 11:55:00,EST,N.Y.C.,61761,5395.5977
12/01/2020 12:00:00,EST,N.Y.C.,61761,5406.874
12/01/2020 12:05:00,EST,N.Y.C.,61761,5413.7275
12/01/2020 12:10:00,EST,N.Y.C.,61761,5425.7393
12/01/2020 12:15:00,EST,N.Y.C.,61761,5424.0566
12/01/2020 12:20:00,EST,N.Y.C.,61761,5438.115
12/01/2020 12:25:00,EST,N.Y.C.,61761,5432.3257
12/01/2020 12:30:00,EST,N.Y.C.,61761,5405.047
